"","time","value"
"1980-09",117315,118.249107482738
"1980-10",122171,98.8656567661424
"1980-11",119145,76.7918372552042
"1980-12",124062,40.9158685167121
"1981-01",125023,36.7439745046616
"1981-02",113750,47.0260559990493
"1981-03",126852,56.5168526829512
"1981-04",123675,61.3243890835766
"1981-05",128743,57.1593851311251
"1981-06",125505,94.6075502508663
"1981-07",130634,73.121775322548
"1981-08",131595,78.8580752366599
"1981-09",128265,99.5962021655883
"1981-10",133486,108.361654961428
"1981-11",130095,62.960315402053
"1981-12",135377,60.4093576879623
"1982-01",136338,47.7632074161319
"1982-02",123970,65.3420251775202
"1982-03",138167,55.7453797404783
"1982-04",134625,86.4515041617225
"1982-05",140058,120.938400024563
"1982-06",136455,128.583858162253
"1982-07",141949,62.6148602635837
"1982-08",142910,85.8990833430619
"1982-09",139215,77.1560242729263
"1982-10",144801,114.073697054874
"1982-11",141045,110.713071983723
"1982-12",146692,72.0776976445208
"1983-01",147653,55.1417893656364
"1983-02",134190,70.6127392334951
"1983-03",149482,69.738925564335
"1983-04",145575,96.7858231650506
"1983-05",151373,168.680811887893
"1983-06",147405,114.401458324366
"1983-07",153264,75.2388770755132
"1983-08",154225,78.0347585805794
"1983-09",150165,96.3152786117768
"1983-10",156116,121.00296081417
"1983-11",151995,44.9154502818521
"1983-12",158007,34.6442000692545
"1984-01",158968,49.3414399650494
"1984-02",149582,54.7011348675247
"1984-03",160828,74.4299668180209
"1984-04",156555,50.2898299024829
"1984-05",162719,90.1427403656125
"1984-06",158385,105.041803804577
"1984-07",164610,-16.3266318661883
"1984-08",165571,75.8120962096115
"1984-09",161145,98.2971459875181
"1984-10",167462,86.0415728131749
"1984-11",162975,61.5192816694564
"1984-12",169353,42.0906093013746
"1985-01",170314,40.730915629361
"1985-02",154658,39.1943214898622
"1985-03",172143,20.9176263371415
"1985-04",167505,97.8510726183925
"1985-05",174034,95.9070481289972
"1985-06",169335,104.770191158782
"1985-07",175925,42.1692083288236
"1985-08",176886,83.7540738864945
"1985-09",172095,148.832954257653
"1985-10",178777,82.7568294478918
"1985-11",173925,61.5828937930014
"1985-12",180668,39.9550864154309
"1986-01",181629,55.9018159175388
"1986-02",164878,50.1506436174013
"1986-03",183458,53.0642409944688
"1986-04",178455,85.8339626523193
"1986-05",185349,117.168316077866
"1986-06",180285,98.6838407563111
"1986-07",187240,61.7026191934786
"1986-08",188201,92.0992532403572
"1986-09",183045,101.23130492469
"1986-10",190092,105.176100434022
"1986-11",184875,111.155104573388
"1986-12",191983,76.3679433633573
"1987-01",192944,59.5397168140814
"1987-02",175098,73.0254286574153
"1987-03",194773,78.1231844333088
"1987-04",189405,65.4714118673283
"1987-05",196664,181.007223816865
"1987-06",191235,98.7724354475814
"1987-07",198555,9.17053946885374
"1987-08",199516,86.5519559086865
"1987-09",193995,83.6458562061918
"1987-10",201407,106.333917705963
"1987-11",195825,84.4313708914845
"1987-12",203298,59.1886962264118
"1988-01",204259,50.0853126536377
"1988-02",191951,50.960508843007
"1988-03",206119,79.9432165224701
"1988-04",200385,29.2935665991357
"1988-05",208010,69.0419867187093
"1988-06",202215,100.945103132371
"1988-07",209901,16.5854431805149
"1988-08",210862,73.2378263036151
"1988-09",204975,103.227468019334
"1988-10",212753,93.662884251865
"1988-11",206805,51.239058482889
"1988-12",214644,9.84729915483378
"1989-01",215605,34.3127516558156
"1989-02",195566,35.0242466981891
"1989-03",217434,70.9232750434194
"1989-04",211335,51.7769177033397
"1989-05",219325,84.2863122102098
"1989-06",213165,100.924358403923
"1989-07",221216,80.8190231365832
"1989-08",222177,78.0366992373952
"1989-09",215925,61.9744515086782
"1989-10",224068,101.886470127108
"1989-11",217755,78.635985218124
"1989-12",225959,50.25306113906
"1990-01",226920,56.8553884511816
"1990-02",205786,32.896213368607
"1990-03",228749,63.5903927488336
"1990-04",222285,85.5754570384159
"1990-05",230640,119.377882408166
"1990-06",224115,105.655847362783
"1990-07",232531,83.0195771888671
"1990-08",233492,82.9192278875389
"1990-09",226875,110.116094581783
"1990-10",235383,119.747028773536
"1990-11",228705,100.987798596143
"1990-12",237274,50.4328456235686
"1991-01",238235,54.5404502074317
"1991-02",216006,58.8749974917395
"1991-03",240064,68.2291376831412
"1991-04",233235,102.111772917685
"1991-05",241955,139.659188350159
"1991-06",235065,108.607600928471
"1991-07",243846,81.8108663581031
"1991-08",244807,87.0390107024508
"1991-09",237825,75.3752911222742
"1991-10",246698,105.645784716516
"1991-11",239655,99.3144093883443
"1991-12",248589,70.6799811566222
"1992-01",249550,70.3484656114122
"1992-02",234320,83.1542637741983
"1992-03",251410,69.1419870843943
"1992-04",244215,77.5002700115282
"1992-05",253301,229.186984963157
"1992-06",246045,114.996497491729
"1992-07",255192,163.644829070529
"1992-08",256153,85.6695980070842
"1992-09",248805,37.7178945214323
"1992-10",258044,127.236318519147
"1992-11",250635,84.2705352899588
"1992-12",259935,74.3124310977527
"1993-01",260896,59.7986119797666
"1993-02",236474,53.5675608713773
"1993-03",262725,95.0955189249158
"1993-04",255165,79.9791885966271
"1993-05",264616,147.6460568694
"1993-06",256995,101.151768179289
"1993-07",266507,63.4687121058844
"1993-08",267468,85.9076485725225
"1993-09",259755,92.3884993728408
